City,Month,Avg_Temp_C,Precipitation_mm,AQI,UV_Index,Humidity_Pct,Sunshine_Hours,Continent
Istanbul,Jan,0.6,33.7,43.0,2.9,59.0,2.7,Europe
Istanbul,Feb,2.9,104.8,51.0,4.0,46.0,1.0,Europe
Istanbul,Mar,8.4,82.1,51.0,5.0,61.0,2.2,Europe
Istanbul,Apr,10.2,83.8,37.0,6.0,39.0,5.4,Europe
Istanbul,May,15.0,11.5,73.0,6.1,45.0,6.7,Europe
Istanbul,Jun,19.7,29.5,56.0,7.1,63.0,7.7,Europe
Istanbul,Jul,18.5,35.2,57.0,6.5,20.0,8.3,Europe
Istanbul,Aug,19.3,0.0,40.0,7.2,80.0,7.6,Europe
Istanbul,Sep,13.9,54.5,76.0,6.1,45.0,6.1,Europe
Istanbul,Oct,9.6,63.7,80.0,6.0,52.0,4.8,Europe
Istanbul,Nov,4.7,86.5,54.0,4.9,93.0,3.7,Europe
Istanbul,Dec,3.0,47.2,73.0,4.1,38.0,3.1,Europe
London,Jan,11.4,46.6,106.0,3.0,65.0,2.4,Europe
London,Feb,12.2,40.7,103.0,3.9,50.0,1.6,Europe
London,Mar,17.0,121.9,71.0,5.0,72.0,3.4,Europe
London,Apr,21.1,28.1,94.0,5.7,67.0,5.9,Europe
London,May,28.3,77.4,92.0,6.6,51.0,6.8,Europe
London,Jun,26.9,65.1,107.0,6.4,69.0,8.7,Europe
London,Jul,28.2,0.0,78.0,7.6,55.0,7.2,Europe
London,Aug,26.6,85.2,95.0,6.7,51.0,7.3,Europe
London,Sep,23.0,108.5,82.0,7.1,73.0,7.3,Europe
London,Oct,19.7,72.1,87.0,5.4,59.0,4.1,Europe
London,Nov,18.2,46.1,90.0,5.1,52.0,4.0,Europe
London,Dec,12.8,86.1,67.0,4.1,78.0,1.6,Europe
Paris,Jan,1.6,75.4,60.0,3.2,61.0,2.5,Europe
Paris,Feb,5.3,72.3,54.0,4.4,78.0,2.3,Europe
Paris,Mar,5.1,93.2,56.0,3.9,65.0,3.1,Europe
Paris,Apr,10.5,70.0,60.0,6.2,50.0,5.4,Europe
Paris,May,14.2,82.2,67.0,6.0,68.0,6.1,Europe
Paris,Jun,18.7,71.0,85.0,6.8,51.0,7.6,Europe
Paris,Jul,18.1,84.0,33.0,6.5,42.0,8.8,Europe
Paris,Aug,20.1,56.9,55.0,6.9,69.0,6.9,Europe
Paris,Sep,15.0,89.3,65.0,6.6,67.0,4.3,Europe
Paris,Oct,11.6,40.4,30.0,6.1,71.0,4.9,Europe
Paris,Nov,8.0,108.4,77.0,5.8,64.0,3.6,Europe
Paris,Dec,1.3,52.6,45.0,5.1,53.0,2.5,Europe
Berlin,Jan,16.2,41.3,78.0,2.6,39.0,1.5,Europe
Berlin,Feb,16.4,47.1,65.0,3.3,54.0,1.2,Europe
Berlin,Mar,20.5,62.5,54.0,4.8,46.0,3.8,Europe
Berlin,Apr,25.4,3.7,77.0,5.7,63.0,5.2,Europe
Berlin,May,26.3,50.4,64.0,7.0,55.0,8.0,Europe
Berlin,Jun,30.2,38.7,53.0,6.0,36.0,7.8,Europe
Berlin,Jul,32.1,12.6,89.0,6.8,57.0,9.3,Europe
Berlin,Aug,31.7,51.9,62.0,5.8,46.0,7.4,Europe
Berlin,Sep,25.9,56.1,77.0,6.4,47.0,6.6,Europe
Berlin,Oct,24.0,27.3,97.0,5.8,55.0,5.6,Europe
Berlin,Nov,19.7,88.6,80.0,4.7,59.0,2.6,Europe
Berlin,Dec,16.6,59.0,72.0,4.0,32.0,2.0,Europe
Tokyo,Jan,4.4,98.0,67.0,3.5,60.0,1.5,Asia
Tokyo,Feb,7.9,24.2,94.0,4.5,47.0,3.5,Asia
Tokyo,Mar,7.8,68.7,84.0,4.9,65.0,4.1,Asia
Tokyo,Apr,9.6,99.1,55.0,6.3,69.0,4.1,Asia
Tokyo,May,15.6,26.8,77.0,6.3,64.0,7.5,Asia
Tokyo,Jun,21.2,43.1,77.0,6.0,45.0,8.4,Asia
Tokyo,Jul,22.6,23.0,71.0,7.0,58.0,7.4,Asia
Tokyo,Aug,19.8,45.8,80.0,7.1,55.0,7.2,Asia
Tokyo,Sep,16.0,57.3,75.0,6.3,74.0,6.9,Asia
Tokyo,Oct,11.8,80.9,75.0,6.4,59.0,4.9,Asia
Tokyo,Nov,8.9,12.9,63.0,4.4,57.0,4.9,Asia
Tokyo,Dec,8.6,79.1,88.0,3.1,48.0,1.8,Asia
New York,Jan,2.1,0.6,72.0,2.5,58.0,3.7,North America
New York,Feb,2.7,0.0,57.0,4.6,79.0,1.4,North America
New York,Mar,7.8,46.0,59.0,6.3,37.0,3.7,North America
New York,Apr,11.7,92.6,62.0,6.0,50.0,5.2,North America
New York,May,14.5,78.6,55.0,6.7,55.0,7.4,North America
New York,Jun,17.9,6.8,80.0,6.4,47.0,7.1,North America
New York,Jul,21.1,0.0,108.0,7.5,58.0,8.0,North America
New York,Aug,18.4,75.6,70.0,7.1,56.0,7.4,North America
New York,Sep,14.8,54.2,78.0,6.8,20.0,7.0,North America
New York,Oct,11.3,59.4,55.0,6.4,66.0,4.4,North America
New York,Nov,7.6,30.9,40.0,4.7,65.0,4.3,North America
New York,Dec,4.9,81.8,69.0,3.7,60.0,3.0,North America
Sydney,Jan,15.0,70.5,115.0,3.0,44.0,1.9,Oceania
Sydney,Feb,13.8,39.7,97.0,3.6,51.0,1.0,Oceania
Sydney,Mar,18.2,60.0,87.0,5.3,66.0,2.2,Oceania
Sydney,Apr,20.7,36.9,85.0,6.2,53.0,4.8,Oceania
Sydney,May,22.8,79.1,80.0,6.5,58.0,7.6,Oceania
Sydney,Jun,26.8,0.0,102.0,7.8,70.0,7.8,Oceania
Sydney,Jul,29.1,84.2,84.0,7.2,61.0,8.8,Oceania
Sydney,Aug,32.9,71.8,91.0,6.9,34.0,7.0,Oceania
Sydney,Sep,25.2,44.3,101.0,6.1,68.0,6.5,Oceania
Sydney,Oct,21.8,50.2,101.0,6.2,45.0,4.5,Oceania
Sydney,Nov,17.4,19.6,87.0,4.8,65.0,3.7,Oceania
Sydney,Dec,15.2,85.5,97.0,4.2,54.0,2.6,Oceania
Cairo,Jan,10.0,102.7,79.0,3.5,70.0,2.1,Africa
Cairo,Feb,12.3,41.5,60.0,4.3,69.0,2.3,Africa
Cairo,Mar,14.2,60.0,74.0,4.3,27.0,3.1,Africa
Cairo,Apr,17.1,44.8,63.0,5.6,72.0,5.3,Africa
Cairo,May,23.3,78.7,48.0,7.0,54.0,7.0,Africa
Cairo,Jun,24.2,13.4,77.0,7.1,44.0,6.9,Africa
Cairo,Jul,28.6,24.3,90.0,6.5,63.0,7.7,Africa
Cairo,Aug,26.7,43.7,62.0,6.9,43.0,8.2,Africa
Cairo,Sep,22.1,53.1,50.0,5.2,53.0,8.4,Africa
Cairo,Oct,20.1,59.4,61.0,5.8,62.0,4.1,Africa
Cairo,Nov,16.6,81.5,76.0,5.2,55.0,4.0,Africa
Cairo,Dec,12.8,49.4,56.0,4.1,74.0,1.4,Africa
Mumbai,Jan,-0.2,64.9,58.0,3.1,58.0,1.8,Asia
Mumbai,Feb,5.3,12.0,45.0,4.0,35.0,2.3,Asia
Mumbai,Mar,8.5,60.6,60.0,4.4,48.0,3.2,Asia
Mumbai,Apr,9.5,98.4,65.0,5.3,58.0,5.4,Asia
Mumbai,May,15.7,107.4,42.0,6.1,40.0,6.3,Asia
Mumbai,Jun,17.7,89.6,56.0,6.7,57.0,6.9,Asia
Mumbai,Jul,21.2,11.8,60.0,8.0,55.0,7.8,Asia
Mumbai,Aug,16.4,54.6,78.0,5.8,73.0,6.5,Asia
Mumbai,Sep,13.6,47.1,66.0,5.7,61.0,8.1,Asia
Mumbai,Oct,8.0,65.7,47.0,6.0,55.0,4.5,Asia
Mumbai,Nov,6.8,114.1,54.0,5.4,39.0,2.7,Asia
Mumbai,Dec,3.8,104.5,62.0,3.9,55.0,1.4,Asia
Toronto,Jan,8.7,45.9,110.0,2.8,54.0,3.7,North America
Toronto,Feb,8.5,49.2,97.0,4.4,53.0,1.9,North America
Toronto,Mar,13.8,102.6,97.0,4.1,67.0,3.0,North America
Toronto,Apr,17.0,0.9,120.0,5.2,64.0,5.0,North America
Toronto,May,18.4,47.8,117.0,6.5,62.0,8.1,North America
Toronto,Jun,20.4,108.5,108.0,6.4,39.0,7.4,North America
Toronto,Jul,25.2,56.2,129.0,6.3,55.0,7.0,North America
Toronto,Aug,23.3,86.6,100.0,5.6,57.0,7.9,North America
Toronto,Sep,20.4,97.1,90.0,6.8,69.0,5.1,North America
Toronto,Oct,16.3,44.9,105.0,6.0,49.0,4.5,North America
Toronto,Nov,11.8,27.4,90.0,5.3,41.0,4.0,North America
Toronto,Dec,9.6,8.2,96.0,4.6,43.0,2.0,North America
Seoul,Jan,9.4,42.1,133.0,3.9,67.0,2.1,Asia
Seoul,Feb,8.5,35.1,119.0,4.2,72.0,2.9,Asia
Seoul,Mar,10.4,91.6,96.0,4.8,58.0,5.1,Asia
Seoul,Apr,21.3,78.2,108.0,6.1,66.0,4.7,Asia
Seoul,May,23.4,66.9,119.0,6.8,60.0,7.2,Asia
Seoul,Jun,22.7,43.3,95.0,7.1,64.0,8.0,Asia
Seoul,Jul,27.2,59.8,121.0,6.5,50.0,8.6,Asia
Seoul,Aug,24.9,51.2,110.0,6.1,51.0,8.3,Asia
Seoul,Sep,21.5,75.0,112.0,6.5,47.0,7.1,Asia
Seoul,Oct,17.3,74.8,103.0,4.8,68.0,4.6,Asia
Seoul,Nov,11.4,80.8,105.0,5.5,62.0,4.0,Asia
Seoul,Dec,7.7,96.4,115.0,3.9,57.0,1.0,Asia
Amsterdam,Jan,8.1,14.3,78.0,2.7,73.0,1.6,Europe
Amsterdam,Feb,6.0,26.5,80.0,4.0,48.0,2.5,Europe
Amsterdam,Mar,12.3,93.5,83.0,4.8,39.0,3.2,Europe
Amsterdam,Apr,15.9,31.1,47.0,6.0,54.0,5.0,Europe
Amsterdam,May,18.4,53.1,48.0,6.9,67.0,5.0,Europe
Amsterdam,Jun,21.1,15.1,52.0,6.8,38.0,6.9,Europe
Amsterdam,Jul,22.0,66.2,63.0,6.6,57.0,7.6,Europe
Amsterdam,Aug,22.0,110.2,82.0,6.2,65.0,8.2,Europe
Amsterdam,Sep,17.8,84.6,85.0,5.9,44.0,7.3,Europe
Amsterdam,Oct,15.9,76.5,67.0,6.0,39.0,5.8,Europe
