UserID,Country,Platform,Genre,Weekly_Hours,Subscription_Fee,Age,Satisfaction_Score,Num_Shows_Watched,Device
1,South Korea,NovaCast,Comedy,9.6,15.99,50,3.5,21,SmartTV
2,Egypt,PrimeView,Drama,7.0,10.99,45,7.1,42,Tablet
3,Sweden,PrimeView,Romance,18.9,13.99,46,7.3,13,SmartTV
4,Mexico,PrimeView,Sci-Fi,4.2,13.99,64,7.3,49,SmartTV
5,India,CineFlow,Thriller,22.9,15.99,20,6.9,41,Tablet
6,South Korea,CineFlow,Comedy,5.0,7.99,59,7.7,17,Tablet
7,Poland,PrimeView,Animation,4.3,7.99,29,5.0,9,Mobile
8,Mexico,CineFlow,Drama,5.5,10.99,26,7.4,41,Mobile
9,Mexico,StreamX,Thriller,29.1,15.99,24,7.1,1,Mobile
10,France,StreamX,Sci-Fi,8.8,7.99,49,8.1,2,Mobile
11,India,CineFlow,Thriller,12.4,15.99,27,7.6,48,Mobile
12,Germany,CineFlow,Drama,8.1,7.99,50,7.5,29,Tablet
13,UK,PrimeView,Romance,8.6,13.99,50,6.5,33,SmartTV
14,Spain,NovaCast,Romance,6.7,7.99,16,6.9,10,Mobile
15,Japan,CineFlow,Documentary,9.3,15.99,55,9.5,40,Mobile
16,UK,StreamX,Romance,12.1,13.99,37,9.7,21,SmartTV
17,USA,PrimeView,Documentary,24.7,13.99,44,9.0,28,Mobile
18,Spain,CineFlow,Thriller,2.9,13.99,23,7.5,11,SmartTV
19,Spain,StreamX,Action,23.7,15.99,26,7.0,34,SmartTV
20,Italy,StreamX,Animation,12.4,10.99,56,5.0,8,Tablet
21,Australia,NovaCast,Animation,7.2,10.99,52,8.0,22,Laptop
22,Norway,PrimeView,Thriller,6.5,10.99,29,6.2,8,Tablet
23,Sweden,PrimeView,Comedy,16.9,15.99,45,4.6,49,Laptop
24,Sweden,NovaCast,Comedy,10.4,13.99,50,7.4,15,Laptop
25,Poland,NovaCast,Romance,3.6,10.99,36,9.7,17,Laptop
26,Spain,PrimeView,Animation,11.2,15.99,52,5.0,23,Mobile
27,Egypt,PrimeView,Animation,17.9,10.99,20,7.7,24,Tablet
